#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
430,0.8600000000000007,-161847.24560246186,-145178.84668965184,204.2532059407856
440,0.8800000000000007,-161871.05810246186,-144862.67521158757,208.41934198368767
450,0.9000000000000007,-161580.99560246186,-144563.9168421178,208.5259004616157
460,0.9200000000000007,-161519.62060246186,-144267.5468050053,211.40551055263137
470,0.9400000000000007,-161384.62060246186,-143898.51480264508,214.27331969404074
480,0.9600000000000007,-161142.37060246186,-143677.78580329719,214.009603100669
490,0.9800000000000008,-161099.12060246186,-143286.7556767352,218.27127251381148
500,1.0000000000000007,-160999.55810246186,-143067.52154914924,219.73771891471904
510,1.0200000000000007,-160684.80810246186,-142794.54382902302,219.2258447912171
520,1.0400000000000007,-160488.49560246186,-142522.3750446632,220.15538153630553
530,1.0600000000000007,-160445.94521682884,-142289.018803181,222.49350099056923
540,1.0800000000000007,-160395.44521682884,-142007.29302783223,225.32692285419142
550,1.1000000000000008,-160190.25771682884,-141766.78218408354,225.759772238404
560,1.1200000000000008,-159954.19521682884,-141663.90785508198,224.12769521276266
570,1.1400000000000008,-159835.25771682884,-141408.47990901058,225.80023804883234
580,1.1600000000000008,-159669.00771682884,-141150.87131185015,226.91973887538924
590,1.1800000000000008,-159596.38271682884,-140919.16428514651,228.86911710492052
600,1.2000000000000008,-159620.59643833886,-140779.80683913536,230.8735049012794
610,1.2200000000000009,-159537.53393833886,-140542.88394214143,232.75889770461458
620,1.2400000000000009,-159571.03393833886,-140464.66023293606,234.12795095946882
630,1.260000000000001,-159275.28393833886,-140222.57793878613,233.4703112525779
640,1.280000000000001,-159240.65893833886,-139945.4261814322,236.4422144314663
650,1.300000000000001,-159568.22143833886,-139758.17137281934,242.7507439013947
660,1.320000000000001,-159303.34643833886,-139609.96083047157,241.3211471165172
670,1.340000000000001,-159147.65893833886,-139390.9965831139,242.09653523729062
680,1.360000000000001,-159259.47143833886,-139235.33748445008,245.37411047477843
690,1.380000000000001,-159123.65893833886,-138994.65385902507,246.65919272477282
700,1.400000000000001,-158834.65893833886,-138746.8485147138,246.15439676110125
710,1.420000000000001,-158688.53393833886,-138465.13810319605,247.81584937728633
720,1.440000000000001,-158323.15893833886,-138291.27757368272,245.46904661683095
730,1.460000000000001,-158225.72143833886,-138195.92105808237,245.44354640308123
740,1.480000000000001,-158212.40893833886,-138019.19424900622,247.44601206879975
750,1.500000000000001,-158204.84643833886,-137982.13109081343,247.8075107373137
760,1.5200000000000011,-158107.65893833886,-137806.63100178342,248.76714684025163
770,1.5400000000000011,-158298.90893833886,-137624.54557163652,253.34196886710998
780,1.5600000000000012,-158121.78393833886,-137522.4771785963,252.4222313039064
